rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id
210,WORLDSTARHIPHOP,Music,United States,2008.0,Nov,8.0,UC-yXuc1__OzjwpsJPlxYUCQ
211,Goldmines Bollywood,Film & Animation,India,2015.0,Jul,22.0,UCyoXW-Dse7fURq30EWl_CUA
212,Alan Chikin Chow,Comedy,United States,2020.0,Feb,3.0,UC5gxP-2QqIh_09djvlm9Xcg
213,PANDA BOI,Entertainment,Italy,2020.0,Dec,5.0,UC0Wju2yvRlfwqraLlz5152Q
214,BB Ki Vines,Entertainment,India,2015.0,Jun,20.0,UCqwUrj10mAEsqezcItqvwEw
215,D Billions,,United States,2019.0,Jul,27.0,UCi3onjs7UU2Z64i3RrVci-Q
217,Smosh,Comedy,United States,2005.0,Nov,19.0,UCY30JRSgfhYXA6i6xX1erWg
218,1MILLION Dance Studio,Entertainment,Saudi Arabia,2019.0,Jul,13.0,UCw8ZhLPdQ0u_Y-TLKd61hGA
219,NichLmao,People & Blogs,,2018.0,Sep,25.0,UC6VAIqNQBc7ggiqvsOHOBqw
222,Indosiar,Music,Indonesia,2013.0,Sep,23.0,UCYqOeAXJm8yV9sJ8Ud3cR7A
223,VanossGaming,Gaming,Canada,2011.0,Sep,15.0,UCKqH_9mk1waLgBiL2vT5b9g
224,David Guetta,Music,United States,2009.0,Dec,11.0,UC1l7wYrva1qCH-wgqcHaaRg
225,LosPolinesios,People & Blogs,Mexico,2012.0,Dec,16.0,UCs8qka8tfhdc69wzXYdtZ3A
226,Nicki Minaj,Music,United States,2013.0,Aug,28.0,UC3jOd7GUMhpgJRBhiLzuLsg
227,Fede Vigevani,Howto & Style,,2019.0,Aug,1.0,UCoQm-PeHC-cbJclKJYJ8LzA
228,TaylorSwiftVEVO,Music,United States,2009.0,May,12.0,UCANLZYMidaCbLQFWXBC95Jg
229,ZHC,Film & Animation,,2006.0,Jan,24.0,UClQubH2NeMmGLTLgNdLBwXg
230,Post Malone,Music,United States,2011.0,Dec,15.0,UCeLHszkByNZtPKcaVXOCOQQ
231,Rans Entertainment,People & Blogs,Indonesia,2015.0,Dec,27.0,UCvA9_f5Lwk-poMynabtrZPg
232,LankyBox,Comedy,United States,2016.0,Jul,30.0,UCSf0s2ogUVYpJPuzW1zpAOg
233,Coldplay,Music,United Kingdom,2010.0,Jan,3.0,UCIaFw5VBEK8qaW6nRpx_qnw
234,Las Ratitas,People & Blogs,,2019.0,May,31.0,UCUY6t_N9MyEWu6I0ZXkbtKA
235,WB Kids,People & Blogs,United States,2015.0,Mar,31.0,UC9trsD1jCTXXtN3xIOIU8gg
236,ABPLIVE,People & Blogs,,2014.0,Jul,26.0,UCRWFSbif-RFENbBrSiez1DA
237,Chris Brown,Music,,,,,UCcYrdFJF7hmPXRNaWdrko4w
238,The Lallantop,News & Politics,India,2015.0,Mar,23.0,UCx8Z14PpntdaxCt2hakbQLQ
239,RihannaVEVO,Music,United States,2009.0,May,12.0,UC2xskkQVFEpLcGFnNSLQY0A
240,WatchMojo.com,Music,Canada,2007.0,Jan,25.0,UCaWd5_7JhbQBe4dknZhsHJg
241,TRANS7 OFFICIAL,Entertainment,Indonesia,2014.0,Sep,4.0,UC24_Z2L-8Ki183AI9zJJzNQ
242,Anuel AA,Music,Colombia,2016.0,Sep,8.0,UCRI7hheejBbWS6etTNwMT0g
243,Dan Rhodes,Entertainment,United Kingdom,2015.0,Oct,30.0,UC6D1L2vxEAg_Vi0JSxMBDgA
244,Yuya,Howto & Style,Mexico,2009.0,Sep,20.0,UCBNs31xysxpAGMheg8OrngA
245,America's Got Talent,Entertainment,United States,2006.0,Jun,29.0,UCT2X19JJaJGUN7mrYuImANQ
246,mujjuu___14,People & Blogs,,2020.0,May,18.0,UCbCadjJEFYrvneouYwIkI8w
247,EminemVEVO,Music,United States,2009.0,May,12.0,UC20vb-R_px4CguHzzBPhoyQ
248,Chloe Ting,Howto & Style,Australia,2011.0,Aug,17.0,UCCgLoMYIyP0U56dEhEL1wXQ
249,KatyPerryVEVO,Music,United States,2009.0,Dec,13.0,UC-8Q-hLdECwQmaWNwXitYDw
250,Mark Rober,Science & Technology,United States,2011.0,Oct,20.0,UCY1kMZp36IQSyNx_9h4mpCg
252,Like Nastya AE,Entertainment,United States,2018.0,Dec,19.0,UC3I1iohrGzxep0p8r1Osw3w
253,Amit Bhadana,Entertainment,,2009.0,Dec,31.0,UC_vcKmg67vjMP7ciLnSxSHQ
254,Pen Movies,Film & Animation,India,2014.0,Mar,25.0,UC3ar28GS6o1p0m_wabfk2zw
256,shfa show India,,United Arab Emirates,2019.0,Apr,1.0,UCNvYCW3cMbkWy2g2v4Wb6xw
